id	text	count
1	Just knowing you're there for me is enough.	10998
2	No, you're right-- I really should roll the dice and hope for a pair that don't ruin my life the way that my mom-- get your hands off my stuff! The stuff might tell us more about why you're sick.	8613
3	Given what's happened, it's understandable that your opinion would color your testimony, but I just want to know what you said, what you did, and what you were thinking at the time.	8582
4	It's not that I was trying to prove that you're an idiot or anything, but lupus boy and I were at the beach this morning, and I noticed a rash on his left thigh.	8351
5	How could I comprehend that you're too despised to keep them from having the same name, too overwhelmed to remember your own calendar, and too vain to admit that at this stage, you don't matter to either baby.	8214
6	you're still on my mind you're still on my mind I can't see you but I know you're here I know you're here I know you're here I'm not lost just looking for the prince I'm taking it one step at a time I'm glad you changed your mind.	8093
7	The fact that that would-be widow came in just in time to sob all over your soft, mushy heart and the fact that her husband's gonna live does not change whether or not I did the right thing.	7907
8	Making this yet another interaction with you it's not my fault you can't handle your patient.	7792
9	And since there's no way that you're doing her without me knowing, it means you were just doing her shampoo.	7699
10	What were you thinking?	7392
11	And I assume you added that irrelevant tidbit because you're moved by the son's idiotic tribute and think it justifies keeping your daughter in New Jersey.	7330
12	If he has another attack and there isn't a doctor in the next cell, he could die! So for one second, will you stop covering your ass and do the test?	7318
13	And your eyes-- the only time you haven't looked bored in the three months since you've been here is when we've been discussing this diagnosis.	7263
14	She has the right to know! It's a medical choice that you turned into an extension of your baggage and hers.	7245
15	No, I'm just trying to give you the answers you need to cover your asses, fill out your forms, and let me out of here.	7207
16	So either you're so insecure that you feel like you need to always have the upper hand, or you're so arrogant that the notion of a favor is insulting to you.	7189
17	Could come from the patient's illness, or it could come from the fact that you allowed him to saunter out of your hospital and take a nap in the snow.	7186
18	Get your hands off me.	7180
19	Wanting to build a connection with your dad and pass on some of the joy that he gave you, that's not stupid at all.	7170
20	And you can tell Taub that he's gonna get the same treatment as this heavy bag if he doesn't cut this crap out.	7091
21	And I need a transplant, and they say I don't have much time, so when I heard that you were willing, I just.	7087
22	So when I see symptoms magically show up right when you need them-- And I was your boss for seven years.	7071
23	Bob Harris, get on up here with that beautiful family of yours! Bob Harris, folks! Bob, your community activism, charity work, and character represent the finest Cedarville has to offer.	7040
24	If Foreman had called you in from home, you wouldn't have pressed clothes, coiffed hair, and makeup, which means you were already here in the hospital.	7039
25	That's what I always said to you, Callie, but I had a problem-- I'm nothing like you! Tell them to do the surgery.	6994
26	And you're a felon, so you'll end up back in jail-- That is actually not one of the many reasons that I don't own a gun.	6990
27	Your job is to be his friend, to stay here and sit with him and watch the fight on pay-per-view while bitching about me.	6979
28	Either your relationship just blows up like every other non-magical romance, or she stays with you but blames you for stripping all the meaning out of her life.	6970
29	The only way that you don't worry about this hearing is if you don't think there's gonna be one.	6946
30	I'm guessing silver nitrate mixed with petroleum jelly that your boss put on the petty cash so he'd know who to have arrested for stealing it.	6941
31	I'd call you idiots again, but at this point I'm starting to doubt whether you understand what I mean by the word.	6913
